fips,obesity_pct,poverty_pct,median_income,no_hs_diploma
01115,39.6,0.143,78349,0.12415080479999996
01063,52.7,0.468,34619,0.17993932499999998
01017,41.5,0.26,50390,0.16378042800000003
01105,54,0.503,34176,0.17827672230000002
05033,38.7,0.183,63905,0.13367808039999995
05003,45.2,0.252,49560,0.12170447579999999
06019,37.9,0.233,71271,0.21403075169999997
02195,30.8,0.11,68449,0.09407948089999996
01071,39.1,0.192,51479,0.17944048560000003
06045,29.3,0.188,65891,0.13837799699999997
05145,40,0.196,56178,0.13252350020000003
05075,43.7,0.245,49015,0.17615300150000002
01049,38.6,0.288,50614,0.21054803570000002
05085,36.1,0.118,74687,0.09788943920000004
02230,36.2,0.089,79412,0.0626204239
02016,31.9,0.048,104159,0.09512879370000005
01063,53.4,0.468,34619,0.17993932499999998
01099,43.8,0.279,49314,0.16385310230000005
02275,34.8,0.151,65011,0.09768976900000004
06017,27.4,0.078,107063,0.05083479049999995
01067,41.2,0.227,55598,0.17764502439999996
01031,41,0.21,64737,0.1397680468
05021,40.2,0.223,47663,0.13352162059999995
05037,45,0.254,47669,0.16588132639999997
05085,35.7,0.118,74687,0.09788943920000004
01049,38.6,0.288,50614,0.21054803570000002
02150,31.5,0.088,86250,0.07462157049999996
05007,35.1,0.09,92632,0.09425233
01105,52.9,0.503,34176,0.17827672230000002
05079,42.6,0.248,53381,0.16743189469999997
06031,34.9,0.203,65768,0.25764822860000003
02158,47,0.365,42029,0.18953430149999995
05093,46.6,0.311,49484,0.14390403829999998
06065,36.8,0.141,90251,0.16700060090000002
01133,39.1,0.24,52280,0.21233438859999998
05065,41.4,0.239,47320,0.15228764390000005
01021,40,0.215,59165,0.15812924839999998
02090,35.8,0.079,86780,0.05118695569999998
01123,39.6,0.226,60583,0.16191148300000002
01067,41.3,0.227,55598,0.17764502439999996
01045,41.5,0.22,54697,0.1427642469
05123,47.9,0.456,41708,0.14315802519999998
05033,38.8,0.183,63905,0.13367808039999995
06061,27.3,0.061,110020,0.050752993000000024
05133,41.5,0.243,52845,0.2746405501
01001,39.5,0.17,68857,0.09721097950000002
06057,27.5,0.128,87142,0.04931399650000001
05131,36.2,0.177,58112,0.1482072819
01023,44.5,0.358,47432,0.1578128473
06021,32.4,0.151,64197,0.19676795879999998
01119,47.2,0.454,37021,0.12048869539999996
02170,37,0.105,94376,0.0570681918
06025,34.7,0.221,58768,0.28152863939999995
01015,39.1,0.285,51841,0.13913795520000005
